name,population
Linnalised asulad,901249
Maa-asulad,413121
Linnad,829344
Vallad,485026
HARJU MAAKOND,576265
Harju maakonna linnad,460305
..Tallinn,423420
....Haabersti linnaosa,43029
....Kesklinna linnaosa,55586
....Kristiine linnaosa,31481
....Lasnamäe linnaosa,114625
....Mustamäe linnaosa,64929
....Nõmme linnaosa,38525
....Pirita linnaosa,17516
....Põhja-Tallinna linnaosa,57396
..Keila linn,9577
..Loksa linn,2634
..Maardu linn,15128
..Paldiski linn,3767
..Saue linn,5779
Harju maakonna vallad,115960
..Aegviidu vald,709
....Aegviidu alev,709
..Anija vald,5474
....Kehra linn (vallasisene),2615
..Harku vald,13456
..Jõelähtme vald,6095
..Keila vald,4681
..Kernu vald,1990
..Kiili vald,4945
....Kiili alev,1491
..Kose vald,7066
..Kuusalu vald,6496
..Kõue vald*,.
..Nissi vald,2832
..Padise vald,1713
..Raasiku vald,4625
..Rae vald,15794
..Saku vald,9276
..Saue vald,10301
..Vasalemma vald,2466
..Viimsi vald,18041
HIIU MAAKOND,9348
Hiiu maakonna linnad,.
..Kärdla linn*,.
Hiiu maakonna vallad,9348
..Emmaste vald,1200
..Hiiu vald,4544
....Kärdla linn (vallasisene),3300
..Kõrgessaare vald*,.
..Käina vald,2074
..Pühalepa vald,1530
IDA-VIRU MAAKOND,146506
Ida-Viru maakonna linnad,115866
..Kiviõli linn,5429
..Kohtla-Järve linn,35928
....Ahtme linnaosa,16222
....Järve linnaosa,15869
....Kukruse linnaosa,550
....Oru linnaosa,1133
....Sompa linnaosa,873
....Viivikonna linnaosa,126
..Narva linn,58204
..Narva-Jõesuu linn,2619
..Püssi linn*,.
..Sillamäe linn,13686
Ida-Viru maakonna vallad,30640
..Alajõe vald,581
..Aseri vald,1598
..Avinurme vald,1267
..Iisaku vald,1213
..Illuka vald,1000
..Jõhvi vald,11786
....Jõhvi linn (vallasisene),10152
..Kohtla vald,1554
..Kohtla-Nõmme vald,998
....Kohtla-Nõmme alev,998
..Lohusuu vald,707
..Lüganuse vald,2945
....Püssi linn (vallasisene),964
..Maidla vald*,.
..Mäetaguse vald,1748
..Sonda vald,844
..Toila vald,2267
..Tudulinna vald,432
..Vaivara vald,1700
JÕGEVA MAAKOND,31298
Jõgeva maakonna linnad,10829
..Jõgeva linn,5340
..Mustvee linn,1315
..Põltsamaa linn,4174
Jõgeva maakonna vallad,20469
..Jõgeva vald,4344
..Kasepää vald,1187
..Pajusi vald,1285
..Pala vald,1096
..Palamuse vald,2130
..Puurmani vald,1509
..Põltsamaa vald,3650
..Saare vald,1116
..Tabivere vald,2198
..Torma vald,1954
JÄRVA MAAKOND,30709
Järva maakonna linnad,8127
..Paide linn,8127
Järva maakonna vallad,22582
..Albu vald,1176
..Ambla vald,2013
..Imavere vald,897
..Järva-Jaani vald,1554
....Järva-Jaani alev,1028
..Kareda vald,582
..Koeru vald,2110
..Koigi vald,955
..Paide vald,1627
..Roosna-Alliku vald,1037
..Türi vald,9351
....Türi linn (vallasisene),5250
..Väätsa vald,1280
LÄÄNE MAAKOND,24580
Lääne maakonna linnad,10146
..Haapsalu linn,10146
Lääne maakonna vallad,14434
..Hanila vald,1428
..Kullamaa vald,1111
..Lihula vald,2267
....Lihula linn (vallasisene),1246
..Lääne-Nigula vald,4054
..Martna vald,760
..Noarootsi vald,815
..Nõva vald,357
..Oru vald*,.
..Ridala vald,3245
..Risti vald*,.
..Taebla vald*,.
..Vormsi vald,397
LÄÄNE-VIRU MAAKOND,59467
Lääne-Viru maakonna linnad,18883
..Kunda linn,3136
..Rakvere linn,15747
Lääne-Viru maakonna vallad,40584
..Haljala vald,2470
..Kadrina vald,4896
..Laekvere vald,1512
..Rakke vald,1631
..Rakvere vald,2056
..Rägavere vald,821
..Sõmeru vald,3424
..Tamsalu vald,3820
....Tamsalu linn (vallasisene),2197
..Tapa vald,7578
....Tapa linn (vallasisene),5478
..Vihula vald,1918
..Vinni vald,4689
..Viru-Nigula vald,1288
..Väike-Maarja vald,4481
PÕLVA MAAKOND,28218
Põlva maakonna linnad,.
..Põlva linn*,.
Põlva maakonna vallad,28218
..Ahja vald,998
..Kanepi vald,2390
..Kõlleste vald,1022
..Laheda vald,1183
..Mikitamäe vald,939
..Mooste vald,1457
..Orava vald,719
..Põlva vald,9575
....Põlva linn (vallasisene),5643
..Räpina vald,4686
....Räpina linn (vallasisene),2235
..Valgjärve vald,1396
..Vastse-Kuuste vald,1165
..Veriora vald,1366
..Värska vald,1322
PÄRNU MAAKOND,82997
Pärnu maakonna linnad,43719
..Pärnu linn,39828
..Sindi linn,3891
Pärnu maakonna vallad,39278
..Are vald,1279
..Audru vald,5726
....Lavassaare alev,457
..Halinga vald,2871
....Pärnu-Jaagupi alev,1108
..Häädemeeste vald,2522
..Kihnu vald,682
..Koonga vald,1051
..Lavassaare vald*,.
....Lavassaare alev*,.
..Paikuse vald,3838
....Paikuse alev,2921
..Saarde vald,3895
....Kilingi-Nõmme linn (vallasisene),1734
..Sauga vald,4071
..Surju vald,942
..Tahkuranna vald,2352
..Tootsi vald,775
....Tootsi alev,775
..Tori vald,2286
..Tõstamaa vald,1305
..Varbla vald,823
..Vändra vald*,2669
..Vändra vald (alev),2191
....Vändra alev,2191
RAPLA MAAKOND,34148
Rapla maakonna linnad,.
Rapla maakonna vallad,34148
..Juuru vald,1429
..Järvakandi vald,1256
